Brand,Model,Engine Capacity,Price,Kilometers,Location
Royal Enfield Thunderbird 350,2017,346,110000,27000,"Avadi, Chennai"
Yamaha FZ S,2016,153,52000,30000,"Manali, Chennai"
Hero Passion Pro 100,2010,97.2,20000,50000,"Moolakadai, Chennai"
Honda CB Hornet 160R,2018,162.71,72000,14478,"Porur, Chennai"
Royal Enfield Bullet Classic,2018,346,139000,42000,"Alwarpet, Chennai"
Bajaj Dominar 400,2020,373.3,210000,8800,"Injambakkam, Chennai"
Yamaha YZF R15,2019,149,95000,19500,"Pallavaram, Chennai"
TVS Suzuki Samurai,NA,98.2,27000,2000,"Gummidipundi, Chennai"
TVS Jupiter,2020,109,70000,5000,"Chennai G.p.o., Chennai"
Bajaj Pulsar 220F,2014,220,55000,22300,"West Mambalam, Chennai"
Bajaj Pulsar 220F,2014,220,55000,22300,"West Mambalam, Chennai"
Yamaha YZF R15,2019,149,99999,19500,"Old Pallavaram, Chennai"
Royal Enfield Bullet Classic,2016,346,135000,14400,"Poonamallee, Chennai"
KTM RC 125,2019,124.7,120000,8000,"Kk Nagar, Chennai"
Honda Activa,2010,109,22000,53536,"Avadi, Chennai"
KTM Duke 125,2019,124.7,85000,17000,"Washermanpet, Chennai"
TVS Suzuki Samurai,2001,98.2,NA,65000,"Chintadripet, Chennai"
Yamaha YZF R15,2019,149,135000,8100,"Choolaimedu, Chennai"
Hero Passion Pro 100,2010,97.2,20000,40000,"Iyyappanthangal, Chennai"
Yamaha FZ S,2012,153,35000,58000,"Porur, Chennai"
Yamaha FZ S,2012,153,35000,58000,"Porur, Chennai"
Yamaha YZF R15,2019,149,NA,8000,"Choolaimedu, Chennai"
Royal Enfield Bullet Classic,2018,346,150000,15000,"Vadapalani, Chennai"
TVS Apache RTR 160 4V,2020,159.7,95000,12724,"Pallavaram, Chennai"
Royal Enfield Bullet Classic,2019,346,55000,8355,"Guduvanchery, Chennai"
Royal Enfield Thunderbird 500,2015,499,110000,15000,"Velachery, Chennai"
Royal Enfield Classic Desert Storm,2017,499,150000,48000,"Kovilambakkam, Chennai"
Yamaha FZ25,2018,249,90000,40000,"Manali, Chennai"
Bajaj Pulsar,2013,NA,28500,30000,"Adambakkam, Chennai"
Yamaha YZF R15,2017,149,70000,40000,"Manali New Town, Chennai"
Honda Dio,2017,109,17500,9536,"Gopalapuram, Chennai"
Bajaj Avenger 220,2018,220,85000,43000,"Tambaram, Chennai"
Royal Enfield Thunderbird 350,2011,346,110000,45000,"Puzhuthivakkam, Chennai"
Hero Passion Pro 100,2020,97.2,64500,9700,"Medavakkam, Chennai"
